id,country,year,gini,gdp,population,eu_membership,oecd,incomegroup
1,Afghanistan,2008,29,1484,27722282,Non-EU,Non-OECD,Low income
2,Afghanistan,2012,33,2075,31161378,Non-EU,Non-OECD,Low income
3,Afghanistan,2017,31,2058,36296108,Non-EU,Non-OECD,Low income
4,Albania,1996,27.01,5011,3098699,Non-EU,Non-OECD,Upper middle income
5,Albania,2002,31.74,6895,3126183,Non-EU,Non-OECD,Upper middle income
6,Albania,2005,30.6,8208,3086810,Non-EU,Non-OECD,Upper middle income
7,Albania,2008,29.98,10119,3002683,Non-EU,Non-OECD,Upper middle income
8,Albania,2012,28.96,11462,2914091,Non-EU,Non-OECD,Upper middle income
9,Albania,2014,34.6,11828,2896307,Non-EU,Non-OECD,Upper middle income
10,Albania,2015,32.91,12126,2890524,Non-EU,Non-OECD,Upper middle income
11,Albania,2016,33.71,12548,2886427,Non-EU,Non-OECD,Upper middle income
12,Albania,2017,33.17,13037,2884169,Non-EU,Non-OECD,Upper middle income
13,Algeria,1988,40.19,9031,24443472,Non-EU,Non-OECD,Lower middle income
14,Algeria,1995,35.33,7935,28757788,Non-EU,Non-OECD,Lower middle income
15,Algeria,2012,27.62,11234,37383900,Non-EU,Non-OECD,Lower middle income
16,Andorra,2001,26.46,,67344,Non-EU,Non-OECD,High income
17,Andorra,2002,26.76,,70048,Non-EU,Non-OECD,High income
18,Andorra,2003,27.21,,73180,Non-EU,Non-OECD,High income
19,Andorra,2016,27.96,,77295,Non-EU,Non-OECD,High income
20,Angola,1995,45,4140,13945205,Non-EU,Non-OECD,Lower middle income
21,Angola,2001,51.96,4767,16945754,Non-EU,Non-OECD,Lower middle income
22,Angola,2009,55,7643,22514276,Non-EU,Non-OECD,Lower middle income
23,Angola,2009,43,7643,22514276,Non-EU,Non-OECD,Lower middle income
24,Angola,2009,50,7643,22514276,Non-EU,Non-OECD,Lower middle income
25,Angola,2009,38,7643,22514276,Non-EU,Non-OECD,Lower middle income
26,Angola,2009,55,7643,22514276,Non-EU,Non-OECD,Lower middle income
27,Angola,2009,39,7643,22514276,Non-EU,Non-OECD,Lower middle income
28,Angola,2009,42.72,7643,22514276,Non-EU,Non-OECD,Lower middle income
29,Angola,2019,51.27,6670,31825298,Non-EU,Non-OECD,Lower middle income
30,Argentina,1953,40,10717,18094290,Non-EU,Non-OECD,Upper middle income
31,Argentina,1953,41.2,10717,18094290,Non-EU,Non-OECD,Upper middle income
32,Argentina,1959,44.7,11524,20146306,Non-EU,Non-OECD,Upper middle income
